antecedent,consequent,antecedent_str,consequent_str,rule_str,support,confidence,lift,leverage,conviction,antecedent_support,consequent_support
['Oven Roasted Turkey Breast'],"['Organic Hass Avocados', 'Sparkling Mineral Water']",Oven Roasted Turkey Breast,Organic Hass Avocados + Sparkling Mineral Water,Oven Roasted Turkey Breast ➔ Organic Hass Avocados + Sparkling Mineral Water,0.0506,0.4168,2.148,0.027,1.382,0.1214,0.194
"['Extra Virgin Olive Oil', 'Roasted Salted Almonds']",['Sparkling Mineral Water'],Extra Virgin Olive Oil + Roasted Salted Almonds,Sparkling Mineral Water,Extra Virgin Olive Oil + Roasted Salted Almonds ➔ Sparkling Mineral Water,0.047,0.512,2.132,0.025,1.557,0.0918,0.2401
['Roasted Salted Almonds'],"['Organic Hass Avocados', 'Sparkling Mineral Water']",Roasted Salted Almonds,Organic Hass Avocados + Sparkling Mineral Water,Roasted Salted Almonds ➔ Organic Hass Avocados + Sparkling Mineral Water,0.0516,0.4135,2.131,0.0274,1.374,0.1248,0.194
"['Organic Hass Avocados', 'Sparkling Mineral Water']",['Organic Tortilla Chips'],Organic Hass Avocados + Sparkling Mineral Water,Organic Tortilla Chips,Organic Hass Avocados + Sparkling Mineral Water ➔ Organic Tortilla Chips,0.0917,0.4727,2.126,0.0486,1.475,0.194,0.2223
['Organic Tortilla Chips'],"['Organic Hass Avocados', 'Sparkling Mineral Water']",Organic Tortilla Chips,Organic Hass Avocados + Sparkling Mineral Water,Organic Tortilla Chips ➔ Organic Hass Avocados + Sparkling Mineral Water,0.0917,0.4125,2.126,0.0486,1.372,0.2223,0.194
['Roma Tomatoes'],['Organic Hass Avocados'],Roma Tomatoes,Organic Hass Avocados,Roma Tomatoes ➔ Organic Hass Avocados,0.2515,0.8273,2.124,0.1331,3.535,0.304,0.3895
['Organic Hass Avocados'],['Roma Tomatoes'],Organic Hass Avocados,Roma Tomatoes,Organic Hass Avocados ➔ Roma Tomatoes,0.2515,0.6457,2.124,0.1331,1.964,0.3895,0.304
"['Organic Strawberry Jam', 'Organic Whole Milk']",['Artisanal Sourdough Bread'],Organic Strawberry Jam + Organic Whole Milk,Artisanal Sourdough Bread,Organic Strawberry Jam + Organic Whole Milk ➔ Artisanal Sourdough Bread,0.0721,0.8423,2.123,0.0381,3.825,0.0856,0.3968
"['Artisanal Sourdough Bread', 'Organic Whole Milk']",['Grade A Large Pasture Eggs'],Artisanal Sourdough Bread + Organic Whole Milk,Grade A Large Pasture Eggs,Artisanal Sourdough Bread + Organic Whole Milk ➔ Grade A Large Pasture Eggs,0.1098,0.5359,2.119,0.058,1.61,0.2049,0.2529
['Grade A Large Pasture Eggs'],"['Artisanal Sourdough Bread', 'Organic Whole Milk']",Grade A Large Pasture Eggs,Artisanal Sourdough Bread + Organic Whole Milk,Grade A Large Pasture Eggs ➔ Artisanal Sourdough Bread + Organic Whole Milk,0.1098,0.4342,2.119,0.058,1.405,0.2529,0.2049
"['Creamy Peanut Butter', 'Organic Whole Milk']",['Artisanal Sourdough Bread'],Creamy Peanut Butter + Organic Whole Milk,Artisanal Sourdough Bread,Creamy Peanut Butter + Organic Whole Milk ➔ Artisanal Sourdough Bread,0.0736,0.8402,2.117,0.0388,3.774,0.0876,0.3968
['Salted Creamery Butter'],"['Artisanal Sourdough Bread', 'Organic Whole Milk']",Salted Creamery Butter,Artisanal Sourdough Bread + Organic Whole Milk,Salted Creamery Butter ➔ Artisanal Sourdough Bread + Organic Whole Milk,0.0633,0.4327,2.112,0.0333,1.401,0.1463,0.2049
['Sparkling Mineral Water'],['Roma Tomatoes'],Sparkling Mineral Water,Roma Tomatoes,Sparkling Mineral Water ➔ Roma Tomatoes,0.1538,0.6406,2.107,0.0808,1.936,0.2401,0.304
['Roma Tomatoes'],['Sparkling Mineral Water'],Roma Tomatoes,Sparkling Mineral Water,Roma Tomatoes ➔ Sparkling Mineral Water,0.1538,0.5059,2.107,0.0808,1.538,0.304,0.2401
['Fresh Organic Cilantro'],['Organic Hass Avocados'],Fresh Organic Cilantro,Organic Hass Avocados,Fresh Organic Cilantro ➔ Organic Hass Avocados,0.1738,0.8125,2.086,0.0905,3.257,0.2139,0.3895
['Organic Hass Avocados'],['Fresh Organic Cilantro'],Organic Hass Avocados,Fresh Organic Cilantro,Organic Hass Avocados ➔ Fresh Organic Cilantro,0.1738,0.4462,2.086,0.0905,1.419,0.3895,0.2139
['Barista Oat Milk'],"['Artisanal Sourdough Bread', 'Organic Whole Milk']",Barista Oat Milk,Artisanal Sourdough Bread + Organic Whole Milk,Barista Oat Milk ➔ Artisanal Sourdough Bread + Organic Whole Milk,0.0631,0.4275,2.086,0.0329,1.389,0.1476,0.2049
['Mild Chunky Salsa'],"['Organic Hass Avocados', 'Sparkling Mineral Water']",Mild Chunky Salsa,Organic Hass Avocados + Sparkling Mineral Water,Mild Chunky Salsa ➔ Organic Hass Avocados + Sparkling Mineral Water,0.0551,0.4025,2.075,0.0285,1.349,0.1369,0.194
['Sparkling Mineral Water'],['Organic Hass Avocados'],Sparkling Mineral Water,Organic Hass Avocados,Sparkling Mineral Water ➔ Organic Hass Avocados,0.194,0.808,2.074,0.1005,3.18,0.2401,0.3895
['Organic Hass Avocados'],['Sparkling Mineral Water'],Organic Hass Avocados,Sparkling Mineral Water,Organic Hass Avocados ➔ Sparkling Mineral Water,0.194,0.4981,2.074,0.1005,1.514,0.3895,0.2401
"['Organic Whole Milk', 'Sea Salt Kettle Chips']",['Artisanal Sourdough Bread'],Organic Whole Milk + Sea Salt Kettle Chips,Artisanal Sourdough Bread,Organic Whole Milk + Sea Salt Kettle Chips ➔ Artisanal Sourdough Bread,0.047,0.8202,2.067,0.0243,3.356,0.0573,0.3968
['Organic Baby Spinach'],['Organic Hass Avocados'],Organic Baby Spinach,Organic Hass Avocados,Organic Baby Spinach ➔ Organic Hass Avocados,0.1604,0.802,2.059,0.0825,3.083,0.2,0.3895
['Organic Hass Avocados'],['Organic Baby Spinach'],Organic Hass Avocados,Organic Baby Spinach,Organic Hass Avocados ➔ Organic Baby Spinach,0.1604,0.4118,2.059,0.0825,1.36,0.3895,0.2
['Fresh Limes'],['Organic Hass Avocados'],Fresh Limes,Organic Hass Avocados,Fresh Limes ➔ Organic Hass Avocados,0.1765,0.8012,2.057,0.0907,3.071,0.2203,0.3895
['Organic Hass Avocados'],['Fresh Limes'],Organic Hass Avocados,Fresh Limes,Organic Hass Avocados ➔ Fresh Limes,0.1765,0.4531,2.057,0.0907,1.426,0.3895,0.2203
['Fresh Organic Cilantro'],['Sparkling Mineral Water'],Fresh Organic Cilantro,Sparkling Mineral Water,Fresh Organic Cilantro ➔ Sparkling Mineral Water,0.1041,0.4867,2.027,0.0527,1.48,0.2139,0.2401
['Sparkling Mineral Water'],['Fresh Organic Cilantro'],Sparkling Mineral Water,Fresh Organic Cilantro,Sparkling Mineral Water ➔ Fresh Organic Cilantro,0.1041,0.4336,2.027,0.0527,1.388,0.2401,0.2139
['Organic Baby Spinach'],['Sparkling Mineral Water'],Organic Baby Spinach,Sparkling Mineral Water,Organic Baby Spinach ➔ Sparkling Mineral Water,0.0967,0.4835,2.014,0.0487,1.471,0.2,0.2401
['Sparkling Mineral Water'],['Organic Baby Spinach'],Sparkling Mineral Water,Organic Baby Spinach,Sparkling Mineral Water ➔ Organic Baby Spinach,0.0967,0.4027,2.014,0.0487,1.339,0.2401,0.2
['Organic Tortilla Chips'],['Organic Hass Avocados'],Organic Tortilla Chips,Organic Hass Avocados,Organic Tortilla Chips ➔ Organic Hass Avocados,0.1735,0.7805,2.004,0.0869,2.781,0.2223,0.3895
['Organic Hass Avocados'],['Organic Tortilla Chips'],Organic Hass Avocados,Organic Tortilla Chips,Organic Hass Avocados ➔ Organic Tortilla Chips,0.1735,0.4454,2.004,0.0869,1.402,0.3895,0.2223
['Roasted Salted Almonds'],['Organic Hass Avocados'],Roasted Salted Almonds,Organic Hass Avocados,Roasted Salted Almonds ➔ Organic Hass Avocados,0.0973,0.7796,2.002,0.0487,2.771,0.1248,0.3895
['Organic Strawberry Jam'],['Artisanal Sourdough Bread'],Organic Strawberry Jam,Artisanal Sourdough Bread,Organic Strawberry Jam ➔ Artisanal Sourdough Bread,0.1293,0.7933,1.999,0.0646,2.918,0.163,0.3968
['Fresh Limes'],['Sparkling Mineral Water'],Fresh Limes,Sparkling Mineral Water,Fresh Limes ➔ Sparkling Mineral Water,0.1057,0.4798,1.998,0.0528,1.461,0.2203,0.2401
['Sparkling Mineral Water'],['Fresh Limes'],Sparkling Mineral Water,Fresh Limes,Sparkling Mineral Water ➔ Fresh Limes,0.1057,0.4402,1.998,0.0528,1.393,0.2401,0.2203
['Creamy Peanut Butter'],['Artisanal Sourdough Bread'],Creamy Peanut Butter,Artisanal Sourdough Bread,Creamy Peanut Butter ➔ Artisanal Sourdough Bread,0.1316,0.7913,1.994,0.0656,2.891,0.1663,0.3968
['Oven Roasted Turkey Breast'],['Organic Hass Avocados'],Oven Roasted Turkey Breast,Organic Hass Avocados,Oven Roasted Turkey Breast ➔ Organic Hass Avocados,0.0938,0.7727,1.984,0.0465,2.685,0.1214,0.3895
['Organic Tortilla Chips'],['Sparkling Mineral Water'],Organic Tortilla Chips,Sparkling Mineral Water,Organic Tortilla Chips ➔ Sparkling Mineral Water,0.1059,0.4764,1.984,0.0525,1.451,0.2223,0.2401
['Sparkling Mineral Water'],['Organic Tortilla Chips'],Sparkling Mineral Water,Organic Tortilla Chips,Sparkling Mineral Water ➔ Organic Tortilla Chips,0.1059,0.4411,1.984,0.0525,1.391,0.2401,0.2223
"['Fresh Organic Cilantro', 'Sparkling Mineral Water']","['Organic Hass Avocados', 'Roma Tomatoes']",Fresh Organic Cilantro + Sparkling Mineral Water,Organic Hass Avocados + Roma Tomatoes,Fresh Organic Cilantro + Sparkling Mineral Water ➔ Organic Hass Avocados + Roma Tomatoes,0.0518,0.4976,1.979,0.0256,1.49,0.1041,0.2515
['Oven Roasted Turkey Breast'],['Sparkling Mineral Water'],Oven Roasted Turkey Breast,Sparkling Mineral Water,Oven Roasted Turkey Breast ➔ Sparkling Mineral Water,0.0576,0.4745,1.976,0.0285,1.446,0.1214,0.2401
['Mild Chunky Salsa'],['Organic Hass Avocados'],Mild Chunky Salsa,Organic Hass Avocados,Mild Chunky Salsa ➔ Organic Hass Avocados,0.1052,0.7684,1.973,0.0519,2.637,0.1369,0.3895
"['Organic Bananas', 'Organic Whole Milk']",['Artisanal Sourdough Bread'],Organic Bananas + Organic Whole Milk,Artisanal Sourdough Bread,Organic Bananas + Organic Whole Milk ➔ Artisanal Sourdough Bread,0.0534,0.7773,1.959,0.0261,2.708,0.0687,0.3968
['Sea Salt Kettle Chips'],"['Artisanal Sourdough Bread', 'Organic Whole Milk']",Sea Salt Kettle Chips,Artisanal Sourdough Bread + Organic Whole Milk,Sea Salt Kettle Chips ➔ Artisanal Sourdough Bread + Organic Whole Milk,0.047,0.4014,1.959,0.023,1.328,0.1171,0.2049
"['Fresh Limes', 'Sparkling Mineral Water']","['Organic Hass Avocados', 'Roma Tomatoes']",Fresh Limes + Sparkling Mineral Water,Organic Hass Avocados + Roma Tomatoes,Fresh Limes + Sparkling Mineral Water ➔ Organic Hass Avocados + Roma Tomatoes,0.0517,0.4891,1.945,0.0251,1.465,0.1057,0.2515
"['Organic Tortilla Chips', 'Sparkling Mineral Water']","['Organic Hass Avocados', 'Roma Tomatoes']",Organic Tortilla Chips + Sparkling Mineral Water,Organic Hass Avocados + Roma Tomatoes,Organic Tortilla Chips + Sparkling Mineral Water ➔ Organic Hass Avocados + Roma Tomatoes,0.0518,0.4891,1.945,0.0252,1.465,0.1059,0.2515
['Mild Chunky Salsa'],['Sparkling Mineral Water'],Mild Chunky Salsa,Sparkling Mineral Water,Mild Chunky Salsa ➔ Sparkling Mineral Water,0.0636,0.4646,1.935,0.0307,1.419,0.1369,0.2401
"['Artisanal Sourdough Bread', 'Grated Parmesan Cheese', 'Penne Rigate Pasta']",['Extra Virgin Olive Oil'],Artisanal Sourdough Bread + Grated Parmesan Cheese + Penne Rigate Pasta,Extra Virgin Olive Oil,Artisanal Sourdough Bread + Grated Parmesan Cheese + Penne Rigate Pasta ➔ Extra Virgin Olive Oil,0.046,0.5437,1.891,0.0217,1.562,0.0846,0.2875
"['Artisanal Sourdough Bread', 'Grated Parmesan Cheese', 'Slow-Simmered Marinara']",['Extra Virgin Olive Oil'],Artisanal Sourdough Bread + Grated Parmesan Cheese + Slow-Simmered Marinara,Extra Virgin Olive Oil,Artisanal Sourdough Bread + Grated Parmesan Cheese + Slow-Simmered Marinara ➔ Extra Virgin Olive Oil,0.0455,0.5436,1.891,0.0214,1.561,0.0837,0.2875
['Roasted Salted Almonds'],['Sparkling Mineral Water'],Roasted Salted Almonds,Sparkling Mineral Water,Roasted Salted Almonds ➔ Sparkling Mineral Water,0.0566,0.4535,1.889,0.0266,1.391,0.1248,0.2401
"['Mild Chunky Salsa', 'Sparkling Mineral Water']","['Organic Hass Avocados', 'Roma Tomatoes']",Mild Chunky Salsa + Sparkling Mineral Water,Organic Hass Avocados + Roma Tomatoes,Mild Chunky Salsa + Sparkling Mineral Water ➔ Organic Hass Avocados + Roma Tomatoes,0.0302,0.4748,1.888,0.0142,1.425,0.0636,0.2515
"['Fresh Limes', 'Fresh Organic Cilantro']","['Organic Hass Avocados', 'Roma Tomatoes']",Fresh Limes + Fresh Organic Cilantro,Organic Hass Avocados + Roma Tomatoes,Fresh Limes + Fresh Organic Cilantro ➔ Organic Hass Avocados + Roma Tomatoes,0.0824,0.4738,1.884,0.0387,1.423,0.1739,0.2515
"['Fresh Limes', 'Organic Tortilla Chips']","['Organic Hass Avocados', 'Roma Tomatoes']",Fresh Limes + Organic Tortilla Chips,Organic Hass Avocados + Roma Tomatoes,Fresh Limes + Organic Tortilla Chips ➔ Organic Hass Avocados + Roma Tomatoes,0.0812,0.4721,1.877,0.0379,1.418,0.172,0.2515
"['Fresh Organic Cilantro', 'Organic Hass Avocados', 'Sparkling Mineral Water']",['Roma Tomatoes'],Fresh Organic Cilantro + Organic Hass Avocados + Sparkling Mineral Water,Roma Tomatoes,Fresh Organic Cilantro + Organic Hass Avocados + Sparkling Mineral Water ➔ Roma Tomatoes,0.0518,0.5692,1.872,0.0241,1.616,0.091,0.304
"['Fresh Organic Cilantro', 'Organic Tortilla Chips']","['Organic Hass Avocados', 'Roma Tomatoes']",Fresh Organic Cilantro + Organic Tortilla Chips,Organic Hass Avocados + Roma Tomatoes,Fresh Organic Cilantro + Organic Tortilla Chips ➔ Organic Hass Avocados + Roma Tomatoes,0.0813,0.4708,1.872,0.0379,1.414,0.1727,0.2515
"['Grated Parmesan Cheese', 'Penne Rigate Pasta']",['Extra Virgin Olive Oil'],Grated Parmesan Cheese + Penne Rigate Pasta,Extra Virgin Olive Oil,Grated Parmesan Cheese + Penne Rigate Pasta ➔ Extra Virgin Olive Oil,0.0845,0.5375,1.87,0.0393,1.541,0.1572,0.2875
"['Fresh Organic Cilantro', 'Mild Chunky Salsa']","['Organic Hass Avocados', 'Roma Tomatoes']",Fresh Organic Cilantro + Mild Chunky Salsa,Organic Hass Avocados + Roma Tomatoes,Fresh Organic Cilantro + Mild Chunky Salsa ➔ Organic Hass Avocados + Roma Tomatoes,0.0475,0.4689,1.864,0.022,1.409,0.1013,0.2515
"['Grated Parmesan Cheese', 'Penne Rigate Pasta', 'Slow-Simmered Marinara']",['Extra Virgin Olive Oil'],Grated Parmesan Cheese + Penne Rigate Pasta + Slow-Simmered Marinara,Extra Virgin Olive Oil,Grated Parmesan Cheese + Penne Rigate Pasta + Slow-Simmered Marinara ➔ Extra Virgin Olive Oil,0.0735,0.5345,1.859,0.034,1.531,0.1375,0.2875
"['Organic Hass Avocados', 'Organic Tortilla Chips', 'Sparkling Mineral Water']",['Roma Tomatoes'],Organic Hass Avocados + Organic Tortilla Chips + Sparkling Mineral Water,Roma Tomatoes,Organic Hass Avocados + Organic Tortilla Chips + Sparkling Mineral Water ➔ Roma Tomatoes,0.0518,0.5649,1.858,0.0239,1.6,0.0917,0.304
"['Grated Parmesan Cheese', 'Slow-Simmered Marinara']",['Extra Virgin Olive Oil'],Grated Parmesan Cheese + Slow-Simmered Marinara,Extra Virgin Olive Oil,Grated Parmesan Cheese + Slow-Simmered Marinara ➔ Extra Virgin Olive Oil,0.084,0.534,1.857,0.0388,1.529,0.1573,0.2875
"['Artisanal Sourdough Bread', 'Penne Rigate Pasta', 'Slow-Simmered Marinara']",['Extra Virgin Olive Oil'],Artisanal Sourdough Bread + Penne Rigate Pasta + Slow-Simmered Marinara,Extra Virgin Olive Oil,Artisanal Sourdough Bread + Penne Rigate Pasta + Slow-Simmered Marinara ➔ Extra Virgin Olive Oil,0.044,0.532,1.851,0.0202,1.523,0.0827,0.2875
['Sea Salt Kettle Chips'],['Artisanal Sourdough Bread'],Sea Salt Kettle Chips,Artisanal Sourdough Bread,Sea Salt Kettle Chips ➔ Artisanal Sourdough Bread,0.0859,0.7336,1.849,0.0394,2.264,0.1171,0.3968
"['72% Dark Chocolate Bar', 'Grated Parmesan Cheese']",['Extra Virgin Olive Oil'],72% Dark Chocolate Bar + Grated Parmesan Cheese,Extra Virgin Olive Oil,72% Dark Chocolate Bar + Grated Parmesan Cheese ➔ Extra Virgin Olive Oil,0.052,0.5306,1.846,0.0238,1.518,0.098,0.2875
"['Fresh Organic Cilantro', 'Sparkling Mineral Water']",['Roma Tomatoes'],Fresh Organic Cilantro + Sparkling Mineral Water,Roma Tomatoes,Fresh Organic Cilantro + Sparkling Mineral Water ➔ Roma Tomatoes,0.0584,0.561,1.845,0.0268,1.585,0.1041,0.304
"['Penne Rigate Pasta', 'Slow-Simmered Marinara']",['Extra Virgin Olive Oil'],Penne Rigate Pasta + Slow-Simmered Marinara,Extra Virgin Olive Oil,Penne Rigate Pasta + Slow-Simmered Marinara ➔ Extra Virgin Olive Oil,0.0821,0.53,1.844,0.0376,1.516,0.1549,0.2875
"['Mild Chunky Salsa', 'Organic Tortilla Chips']","['Organic Hass Avocados', 'Roma Tomatoes']",Mild Chunky Salsa + Organic Tortilla Chips,Organic Hass Avocados + Roma Tomatoes,Mild Chunky Salsa + Organic Tortilla Chips ➔ Organic Hass Avocados + Roma Tomatoes,0.0461,0.4633,1.842,0.0211,1.395,0.0995,0.2515
"['Fresh Limes', 'Organic Hass Avocados', 'Sparkling Mineral Water']",['Roma Tomatoes'],Fresh Limes + Organic Hass Avocados + Sparkling Mineral Water,Roma Tomatoes,Fresh Limes + Organic Hass Avocados + Sparkling Mineral Water ➔ Roma Tomatoes,0.0517,0.5595,1.841,0.0236,1.58,0.0924,0.304
"['Organic Hass Avocados', 'Roma Tomatoes', 'Sparkling Mineral Water']",['Extra Virgin Olive Oil'],Organic Hass Avocados + Roma Tomatoes + Sparkling Mineral Water,Extra Virgin Olive Oil,Organic Hass Avocados + Roma Tomatoes + Sparkling Mineral Water ➔ Extra Virgin Olive Oil,0.0727,0.5291,1.84,0.0332,1.513,0.1374,0.2875
"['72% Dark Chocolate Bar', 'Grated Parmesan Cheese', 'Penne Rigate Pasta']",['Extra Virgin Olive Oil'],72% Dark Chocolate Bar + Grated Parmesan Cheese + Penne Rigate Pasta,Extra Virgin Olive Oil,72% Dark Chocolate Bar + Grated Parmesan Cheese + Penne Rigate Pasta ➔ Extra Virgin Olive Oil,0.0452,0.528,1.837,0.0206,1.51,0.0856,0.2875
"['Fresh Organic Cilantro', 'Organic Tortilla Chips', 'Sparkling Mineral Water']",['Roma Tomatoes'],Fresh Organic Cilantro + Organic Tortilla Chips + Sparkling Mineral Water,Roma Tomatoes,Fresh Organic Cilantro + Organic Tortilla Chips + Sparkling Mineral Water ➔ Roma Tomatoes,0.0501,0.5567,1.831,0.0227,1.57,0.09,0.304
"['72% Dark Chocolate Bar', 'Grated Parmesan Cheese', 'Slow-Simmered Marinara']",['Extra Virgin Olive Oil'],72% Dark Chocolate Bar + Grated Parmesan Cheese + Slow-Simmered Marinara,Extra Virgin Olive Oil,72% Dark Chocolate Bar + Grated Parmesan Cheese + Slow-Simmered Marinara ➔ Extra Virgin Olive Oil,0.0442,0.5256,1.828,0.02,1.502,0.0841,0.2875
"['Organic Hass Avocados', 'Roma Tomatoes']",['Extra Virgin Olive Oil'],Organic Hass Avocados + Roma Tomatoes,Extra Virgin Olive Oil,Organic Hass Avocados + Roma Tomatoes ➔ Extra Virgin Olive Oil,0.1321,0.5252,1.827,0.0598,1.501,0.2515,0.2875
['Extra Virgin Olive Oil'],"['Organic Hass Avocados', 'Roma Tomatoes']",Extra Virgin Olive Oil,Organic Hass Avocados + Roma Tomatoes,Extra Virgin Olive Oil ➔ Organic Hass Avocados + Roma Tomatoes,0.1321,0.4595,1.827,0.0598,1.385,0.2875,0.2515
"['Organic Tortilla Chips', 'Sparkling Mineral Water']",['Roma Tomatoes'],Organic Tortilla Chips + Sparkling Mineral Water,Roma Tomatoes,Organic Tortilla Chips + Sparkling Mineral Water ➔ Roma Tomatoes,0.0588,0.5552,1.826,0.0266,1.565,0.1059,0.304
"['Fresh Limes', 'Sparkling Mineral Water']",['Roma Tomatoes'],Fresh Limes + Sparkling Mineral Water,Roma Tomatoes,Fresh Limes + Sparkling Mineral Water ➔ Roma Tomatoes,0.0586,0.5544,1.824,0.0265,1.562,0.1057,0.304
"['Fresh Limes', 'Fresh Organic Cilantro', 'Sparkling Mineral Water']",['Roma Tomatoes'],Fresh Limes + Fresh Organic Cilantro + Sparkling Mineral Water,Roma Tomatoes,Fresh Limes + Fresh Organic Cilantro + Sparkling Mineral Water ➔ Roma Tomatoes,0.0502,0.5523,1.817,0.0226,1.554,0.0909,0.304
"['72% Dark Chocolate Bar', 'Slow-Simmered Marinara']",['Extra Virgin Olive Oil'],72% Dark Chocolate Bar + Slow-Simmered Marinara,Extra Virgin Olive Oil,72% Dark Chocolate Bar + Slow-Simmered Marinara ➔ Extra Virgin Olive Oil,0.05,0.5225,1.817,0.0225,1.492,0.0957,0.2875
"['Fresh Organic Cilantro', 'Organic Hass Avocados']",['Roma Tomatoes'],Fresh Organic Cilantro + Organic Hass Avocados,Roma Tomatoes,Fresh Organic Cilantro + Organic Hass Avocados ➔ Roma Tomatoes,0.0958,0.5512,1.813,0.043,1.551,0.1738,0.304
"['72% Dark Chocolate Bar', 'Penne Rigate Pasta']",['Extra Virgin Olive Oil'],72% Dark Chocolate Bar + Penne Rigate Pasta,Extra Virgin Olive Oil,72% Dark Chocolate Bar + Penne Rigate Pasta ➔ Extra Virgin Olive Oil,0.0503,0.5212,1.813,0.0226,1.488,0.0965,0.2875
"['Organic Hass Avocados', 'Organic Tortilla Chips']",['Roma Tomatoes'],Organic Hass Avocados + Organic Tortilla Chips,Roma Tomatoes,Organic Hass Avocados + Organic Tortilla Chips ➔ Roma Tomatoes,0.0955,0.5504,1.811,0.0428,1.548,0.1735,0.304
"['Roma Tomatoes', 'Sparkling Mineral Water']",['Extra Virgin Olive Oil'],Roma Tomatoes + Sparkling Mineral Water,Extra Virgin Olive Oil,Roma Tomatoes + Sparkling Mineral Water ➔ Extra Virgin Olive Oil,0.08,0.5202,1.809,0.0358,1.485,0.1538,0.2875
"['Fresh Limes', 'Organic Tortilla Chips', 'Sparkling Mineral Water']",['Roma Tomatoes'],Fresh Limes + Organic Tortilla Chips + Sparkling Mineral Water,Roma Tomatoes,Fresh Limes + Organic Tortilla Chips + Sparkling Mineral Water ➔ Roma Tomatoes,0.0496,0.5493,1.807,0.0221,1.544,0.0903,0.304
"['72% Dark Chocolate Bar', 'Penne Rigate Pasta', 'Slow-Simmered Marinara']",['Extra Virgin Olive Oil'],72% Dark Chocolate Bar + Penne Rigate Pasta + Slow-Simmered Marinara,Extra Virgin Olive Oil,72% Dark Chocolate Bar + Penne Rigate Pasta + Slow-Simmered Marinara ➔ Extra Virgin Olive Oil,0.0429,0.5194,1.807,0.0192,1.482,0.0826,0.2875
"['Mild Chunky Salsa', 'Organic Hass Avocados', 'Sparkling Mineral Water']",['Roma Tomatoes'],Mild Chunky Salsa + Organic Hass Avocados + Sparkling Mineral Water,Roma Tomatoes,Mild Chunky Salsa + Organic Hass Avocados + Sparkling Mineral Water ➔ Roma Tomatoes,0.0302,0.5481,1.803,0.0134,1.54,0.0551,0.304
"['Fresh Limes', 'Organic Hass Avocados']",['Roma Tomatoes'],Fresh Limes + Organic Hass Avocados,Roma Tomatoes,Fresh Limes + Organic Hass Avocados ➔ Roma Tomatoes,0.0965,0.5467,1.798,0.0428,1.536,0.1765,0.304
"['Fresh Limes', 'Mild Chunky Salsa']","['Organic Hass Avocados', 'Roma Tomatoes']",Fresh Limes + Mild Chunky Salsa,Organic Hass Avocados + Roma Tomatoes,Fresh Limes + Mild Chunky Salsa ➔ Organic Hass Avocados + Roma Tomatoes,0.0456,0.4515,1.795,0.0202,1.365,0.101,0.2515
"['Fresh Organic Cilantro', 'Organic Hass Avocados', 'Organic Tortilla Chips']",['Roma Tomatoes'],Fresh Organic Cilantro + Organic Hass Avocados + Organic Tortilla Chips,Roma Tomatoes,Fresh Organic Cilantro + Organic Hass Avocados + Organic Tortilla Chips ➔ Roma Tomatoes,0.0813,0.5438,1.789,0.0359,1.526,0.1495,0.304
"['Fresh Limes', 'Fresh Organic Cilantro', 'Organic Tortilla Chips']",['Roma Tomatoes'],Fresh Limes + Fresh Organic Cilantro + Organic Tortilla Chips,Roma Tomatoes,Fresh Limes + Fresh Organic Cilantro + Organic Tortilla Chips ➔ Roma Tomatoes,0.083,0.5418,1.782,0.0364,1.519,0.1532,0.304
"['Fresh Limes', 'Fresh Organic Cilantro', 'Organic Hass Avocados']",['Roma Tomatoes'],Fresh Limes + Fresh Organic Cilantro + Organic Hass Avocados,Roma Tomatoes,Fresh Limes + Fresh Organic Cilantro + Organic Hass Avocados ➔ Roma Tomatoes,0.0824,0.5417,1.782,0.0362,1.519,0.1521,0.304
['Fresh Organic Cilantro'],"['Organic Hass Avocados', 'Roma Tomatoes']",Fresh Organic Cilantro,Organic Hass Avocados + Roma Tomatoes,Fresh Organic Cilantro ➔ Organic Hass Avocados + Roma Tomatoes,0.0958,0.4479,1.781,0.042,1.356,0.2139,0.2515
"['Organic Hass Avocados', 'Roma Tomatoes']",['Fresh Organic Cilantro'],Organic Hass Avocados + Roma Tomatoes,Fresh Organic Cilantro,Organic Hass Avocados + Roma Tomatoes ➔ Fresh Organic Cilantro,0.0958,0.3809,1.781,0.042,1.27,0.2515,0.2139
"['Fresh Limes', 'Organic Hass Avocados', 'Organic Tortilla Chips']",['Roma Tomatoes'],Fresh Limes + Organic Hass Avocados + Organic Tortilla Chips,Roma Tomatoes,Fresh Limes + Organic Hass Avocados + Organic Tortilla Chips ➔ Roma Tomatoes,0.0812,0.5406,1.778,0.0355,1.515,0.1502,0.304
"['Fresh Organic Cilantro', 'Mild Chunky Salsa', 'Organic Tortilla Chips']",['Roma Tomatoes'],Fresh Organic Cilantro + Mild Chunky Salsa + Organic Tortilla Chips,Roma Tomatoes,Fresh Organic Cilantro + Mild Chunky Salsa + Organic Tortilla Chips ➔ Roma Tomatoes,0.0479,0.5406,1.778,0.021,1.515,0.0886,0.304
"['Artisanal Sourdough Bread', 'Grated Parmesan Cheese']",['Extra Virgin Olive Oil'],Artisanal Sourdough Bread + Grated Parmesan Cheese,Extra Virgin Olive Oil,Artisanal Sourdough Bread + Grated Parmesan Cheese ➔ Extra Virgin Olive Oil,0.0533,0.511,1.777,0.0233,1.457,0.1043,0.2875
